object,play,act,mentions
Malitskoe,Uncle Vanya,Act I,1
Moscow,Uncle Vanya,Act II,1
Kharkov,Uncle Vanya,Act II,1
Tula,Uncle Vanya,Act II,1
The St. Petersburg Conservatory,Uncle Vanya,Act III,1
The District (Yaranskiy rayon),Uncle Vanya,Act III,1
Finland,Uncle Vanya,Act III,2
Africa,Uncle Vanya,Act IV,1
Kharkov,Uncle Vanya,Act IV,3
The District (Yaranskiy rayon),Uncle Vanya,Act IV,1
Kursk,Uncle Vanya,Act IV,1
Odessa,The Seagull,Act I,1
The Eiffel Tower,The Seagull,Act I,1
Kiev,The Seagull,Act I,2
Poltova,The Seagull,Act I,1
The Moscow Opera House,The Seagull,Act I,1
Russia,The Seagull,Act II,1
Moscow,The Seagull,Act II,1
Abroad,The Seagull,Act III,2
The National Theater,The Seagull,Act III,1
Kiev,The Seagull,Act III,1
Russia,The Seagull,Act III,1
Elizavetgrad,The Seagull,Act III,1
Moscow,The Seagull,Act III,1
The Slav Bazaar Hotel,The Seagull,Act III,1
Abroad,The Seagull,Act IV,1
Genoa,The Seagull,Act IV,2
The Provinces,The Seagull,Act IV,1
Moscow,The Seagull,Act IV,2
Petersburg,The Seagull,Act IV,1
Kharkov,The Seagull,Act IV,1
Yelets,The Seagull,Act IV,3
Moscow,Three Sisters,Act I,18
Petersburg,Three Sisters,Act I,2
Sisters' Place of Birth (Old Basmannaya Street),Three Sisters,Act I,2
German Street,Three Sisters,Act I,2
Red Barracks,Three Sisters,Act I,1
Novodevichy Churchyard,Three Sisters,Act I,1
Moscow University (And Moscow University?),Three Sisters,Act II,2
Testov's Tavern in Moscow,Three Sisters,Act II,1
The Grand Moscow Resturant,Three Sisters,Act II,1
Moscow,Three Sisters,Act II,12
Saratov,Three Sisters,Act II,1
Berdichev,Three Sisters,Act II,3
Tsitsikar,Three Sisters,Act II,1
Caucasus,Three Sisters,Act II,1
Moscow,Three Sisters,Act III,5
The Kingdom of Poland,Three Sisters,Act III,1
Chita,Three Sisters,Act III,1
The Kingdom of Poland,Three Sisters,Act IV,1
Moscow,Three Sisters,Act IV,3
Petersburg,Three Sisters,Act IV,2
Abroad,The Cherry Orchard,Act I,1
Paris,The Cherry Orchard,Act I,7
Mentone,The Cherry Orchard,Act I,1
Moscow,The Cherry Orchard,Act I,2
Kiev,The Cherry Orchard,Act I,1
Kharkov,The Cherry Orchard,Act I,2
Yaroslavl,The Cherry Orchard,Act I,3
Abroad,The Cherry Orchard,Act II,2
Yaroslavl,The Cherry Orchard,Act II,1
Mentone,The Cherry Orchard,Act II,1
Paris,The Cherry Orchard,Act II,2
Russia,The Cherry Orchard,Act II,3
Yaroslavl,The Cherry Orchard,Act III,1
Paris,The Cherry Orchard,Act III,3
Kharkov,The Cherry Orchard,Act IV,3
Moscow,The Cherry Orchard,Act IV,2
Russia,The Cherry Orchard,Act IV,1
Paris,The Cherry Orchard,Act IV,3
Yaroslavl,The Cherry Orchard,Act IV,1
Yashnevo,The Cherry Orchard,Act IV,1